year,imdb,title,Director,director_gender,Writer,writer_gender,Star,star_gender,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,Director Gender,Director Age
2004,tt0363282,New York Minute,Dennie Gordon,M,Emily Fox,F,Mary-Kate Olsen,F,notalk-disagree,notalk,0,40000000,14018364,21215882,2004FAIL,49327715,17287347,26163275,3,2,,
2008,tt0981227,Nick and Norah&#39;s Infinite Playlist,Peter Sollett,M,Lorene Scafaria,F,Michael Cera,M,ok,ok,1,10000000,31487293,33544594,2008PASS,10822563,34077322,36303849,2,2,,
2006,tt0477347,Night at the Museum,Shawn Levy,M,Robert Ben Garant,M,Ben Stiller,M,ok,ok,1,110000000,250863268,574480841,2006PASS,127137598,289946849,663982857,2,2,,
1990,tt0100263,Nikita,Luc Besson,M,Luc Besson,M,Anne Parillaud,F,ok,ok,1,7000000,5017971,5017971,1990PASS,12480828,8946919,8946919,5,3,,
2008,tt0410377,Nim&#39;s Island,Jennifer Flackett,F,Joseph Kwong,M,Jodie Foster,F,ok,ok,1,37000000,48006762,94081683,2008PASS,40043484,51955621,101820495,2,2,,
2009,tt0875034,Nine,Rob Marshall,M,Michael Tolkin,M,Daniel Day-Lewis,M,men-disagree,men,0,80000000,19676965,53508858,2009FAIL,86858528,21363903,58096258,2,2,,
2007,tt0477348,No Country for Old Men,Ethan Coen,M,Joel Coen,M,Tommy Lee Jones,M,dubious,dubious,0,25000000,74273505,164051250,2007FAIL,28088587,83449513,184318713,2,2,,
2007,tt0481141,No Reservations,Scott Hicks,M,Carol Fuchs,F,Catherine Zeta-Jones,F,ok,ok,1,28000000,43107979,91665799,2007PASS,31459218,48433689,102990511,2,2,,
2011,tt1411238,No Strings Attached,Ivan Reitman,M,Elizabeth Meriwether,F,Natalie Portman,F,ok,ok,1,25000000,70662220,149228078,2011PASS,25892270,73184210,154554145,1,1,,
2005,tt0395972,North Country,Niki Caro,M,Michael Seitzman,M,Charlize Theron,M,ok,ok,1,30000000,18324242,25224242,2005PASS,35790994,21861428,30093356,2,2,,
2006,tt0465551,Notes on a Scandal,Richard Eyre,M,Patrick Marber,M,Cate Blanchett,F,ok,ok,1,27500000,17510118,49752391,2006PASS,31784400,20238130,57503632,2,2,,
1999,tt0125439,Notting Hill,Roger Michell,M,Richard Curtis,M,Hugh Grant,M,ok,ok,1,42000000,116089678,363728226,1999PASS,58735405,162347007,508660113,4,3,,
2013,tt1670345,Now You See Me,Louis Leterrier,M,Ed Solomon,M,Jesse Eisenberg,M,notalk-disagree,notalk,0,75000000,117723989,351723989,2013FAIL,75000000,117723989,351723989,1,1,,
2009,tt1266029,Nowhere Boy,Sam Taylor-Johnson,M,Julia Baird,F,Aaron Taylor-Johnson,M,dubious,dubious,0,1900000,1445366,7785229,2009FAIL,2062890,1569280,8452669,2,2,,
2001,tt0161860,Nowhere in Africa,Caroline Link,F,Caroline Link,F,Juliane Köhler,F,ok,ok,1,6500000,6173485,6173485,2001PASS,8552999,8123355,8123355,3,2,,
2000,tt0190590,"O Brother, Where Art Thou?",Joel Coen,M,Homer,M,George Clooney,M,nowomen-disagree,nowomen,0,26000000,45506619,75763814,2000FAIL,35175618,61566286,102501499,3,2,,
2013,tt1483013,Oblivion,Joseph Kosinski,M,Karl Gajdusek,M,Tom Cruise,M,men-disagree,men,0,120000000,89107235,287537983,2013FAIL,120000000,89107235,287537983,1,1,,
2001,tt0240772,Ocean&#39;s Eleven,Steven Soderbergh,M,George Clayton Johnson,M,George Clooney,M,notalk,notalk,0,85000000,183417150,450728529,2001FAIL,111846906,241348715,593089313,3,2,,
1999,tt0151804,Office Space,Mike Judge,M,Mike Judge,M,Ron Livingston,M,notalk,notalk,0,10000000,10827813,12827813,1999FAIL,13984620,15142285,17939209,4,3,,
2005,tt0380599,Oliver Twist,Roman Polanski,M,Charles Dickens,M,Barney Clark,M,notalk,notalk,0,65000000,2070920,26670920,2005FAIL,77547153,2470676,31819291,2,2,,
2013,tt2302755,Olympus Has Fallen,Antoine Fuqua,M,Creighton Rothenberger,M,Gerard Butler,M,notalk,notalk,0,70000000,98927592,150562164,2013FAIL,70000000,98927592,150562164,1,1,,
2006,tt0907657,Once,John Carney,M,John Carney,M,Glen Hansard,M,men,men,0,150000,9445857,18997174,2006FAIL,173369,10917487,21956864,2,2,,
2009,tt1235796,Ondine,Neil Jordan,M,Neil Jordan,M,Colin Farrell,M,ok,ok,1,12000000,550472,550472,2009PASS,13028779,597665,597665,2,2,,
2012,tt1598828,One for the Money,Julie Anne Robinson,F,Stacy Sherman,F,Katherine Heigl,F,ok,ok,1,42000000,26414527,36197221,2012PASS,42614820,26801198,36727096,1,1,,
2006,tt0400717,Open Season,Roger Allers,M,Steve Bencich,M,Ashton Kutcher,M,notalk,notalk,0,85000000,85105259,189901703,2006FAIL,98242689,98364347,219487695,2,2,,
1997,tt0124819,Orgazmo,Trey Parker,M,Trey Parker,M,Trey Parker,M,notalk,notalk,0,1000000,582024,627287,1997FAIL,1451238,844655,910343,4,3,,
2001,tt0181739,Osmosis Jones,Bobby Farrelly,M,Marc Hyman,M,Laurence Fishburne,M,dubious,dubious,0,70000000,13596911,13596911,2001FAIL,92109217,17891440,17891440,3,2,,
2011,tt1637706,Our Idiot Brother,Jesse Peretz,M,Jesse Peretz,M,Paul Rudd,M,ok,ok,1,5000000,24814830,25861249,2011PASS,5178454,25700491,26784257,1,1,,
1998,tt0120780,Out of Sight,Steven Soderbergh,M,Elmore Leonard,M,George Clooney,M,men,men,0,48000000,37562568,77562568,1998FAIL,68598351,53681880,110847172,4,3,,
1995,tt0114069,Outbreak,Wolfgang Petersen,M,Laurence Dworet,M,Dustin Hoffman,M,ok,ok,1,50000000,67823573,67823573,1995PASS,76438973,103687285,103687285,4,3,,
2013,tt1623205,Oz the Great and Powerful,Sam Raimi,M,Mitchell Kapner,M,James Franco,M,ok-disagree,ok,1,200000000,234770996,489570996,2013PASS,200000000,234770996,489570996,1,1,,
2013,tt1663662,Pacific Rim,Guillermo del Toro,M,Travis Beacham,M,Idris Elba,M,notalk-disagree,notalk,0,190000000,101802906,411002906,2013FAIL,190000000,101802906,411002906,1,1,,
2013,tt1980209,Pain &amp; Gain,Michael Bay,M,Christopher Markus,M,Mark Wahlberg,M,notalk,notalk,0,26000000,49875291,81275291,2013FAIL,26000000,49875291,81275291,1,1,,
2009,tt1188729,Pandorum,Christian Alvart,M,Travis Milloy,M,Dennis Quaid,M,notalk,notalk,0,40000000,10330853,17033431,2009FAIL,43429264,11216534,18493734,2,2,,
2002,tt0258000,Panic Room,David Fincher,M,David Koepp,M,Jodie Foster,F,ok,ok,1,48000000,95308367,196308367,2002PASS,62168602,123441416,254254517,3,2,,
2007,tt1179904,Paranormal Activity,Oren Peli,M,Oren Peli,M,Katie Featherston,F,dubious,dubious,0,450000,107918810,194183034,2007FAIL,505595,121251476,218173082,2,2,,
2010,tt1536044,Paranormal Activity 2,Tod Williams,M,Michael R. Perry,M,Katie Featherston,F,ok,ok,1,3000000,84752907,177512032,2010PASS,3204696,90535754,189624005,1,1,,
2012,tt2109184,Paranormal Activity 4,Henry Joost,M,Christopher Landon,M,Stephen Dunham,M,ok,ok,1,5000000,53900335,142793842,2012PASS,5073193,54689359,144884139,1,1,,
2012,tt1623288,ParaNorman,Chris Butler,M,Chris Butler,M,Kodi Smit-McPhee,M,notalk-disagree,notalk,0,60000000,56003051,108159011,2012FAIL,60878314,56822855,109742304,1,1,,
2012,tt1047540,Parental Guidance,Andy Fickman,M,Lisa Addario,F,Billy Crystal,M,ok,ok,1,25000000,77267296,120168633,2012PASS,25365964,78398378,121927729,1,1,,
2013,tt1904996,Parker,Taylor Hackford,M,John J. McLaughlin,M,Jason Statham,M,ok,ok,1,35000000,17616641,46346651,2013PASS,35000000,17616641,46346651,1,1,,
2011,tt1092026,Paul,Greg Mottola,M,Simon Pegg,M,Simon Pegg,M,ok,ok,1,40000000,37412945,100179814,2011PASS,41427631,38748242,103755310,1,1,,
1999,tt0120784,Payback,Brian Helgeland,M,Donald E. Westlake,M,Mel Gibson,M,notalk,notalk,0,50000000,81526121,161626121,1999FAIL,69923101,114011185,226027993,4,3,,
2001,tt0213149,Pearl Harbor,Michael Bay,M,Randall Wallace,M,Ben Affleck,M,men-disagree,men,0,151500000,198539855,449239855,2001FAIL,199350663,261247866,591130447,3,2,,
1986,tt0091738,Peggy Sue Got Married,Francis Ford Coppola,M,Jerry Leichtling,M,Kathleen Turner,F,ok,ok,1,18000000,41382841,41382841,1986PASS,38227765,87887418,87887418,,,,
2012,tt1716777,People Like Us,Alex Kurtzman,M,Alex Kurtzman,M,Chris Pine,M,ok,ok,1,16000000,12431792,12431792,2012PASS,16234217,12613776,12613776,1,1,,
2010,tt0814255,Percy Jackson &amp; the Olympians: The Lightning Thief,Chris Columbus,M,Craig Titley,M,Logan Lerman,M,dubious-disagree,dubious,0,95000000,88768303,226467130,2010FAIL,101482025,94825128,241919399,1,1,,
2013,tt1854564,Percy Jackson: Sea of Monsters,Thor Freudenthal,M,Marc Guggenheim,M,Logan Lerman,M,ok,ok,1,90000000,68559554,200859554,2013PASS,90000000,68559554,200859554,1,1,,
2006,tt0396171,Perfume: The Story of a Murderer,Tom Tykwer,M,Andrew Birkin,M,Ben Whishaw,M,ok,ok,1,63700000,2223293,133603463,2006PASS,73624227,2569674,154418394,2,2,,
2007,tt0808417,Persepolis,Vincent Paronnaud,M,Marjane Satrapi,F,Chiara Mastroianni,F,ok,ok,1,7300000,4443403,22742498,2007PASS,8201867,4992356,25552185,2,2,,
2003,tt0316396,Peter Pan,P.J. Hogan,M,J.M. Barrie,M,Jeremy Sumpter,M,ok,ok,1,100000000,48417850,95255485,2003PASS,126608696,61301208,120601727,3,2,,
2002,tt0183649,Phone Booth,Joel Schumacher,M,Larry Cohen,M,Colin Farrell,M,notalk,notalk,0,11000000,46566212,97837138,2002FAIL,14246971,60311590,126716628,3,2,,
1998,tt0138704,Pi,Darren Aronofsky,M,Darren Aronofsky,M,Sean Gullette,M,men,men,0,68000,3221152,4678513,1998FAIL,97181,4603452,6686214,4,3,,
1993,tt0311648,Pieces of April,Peter Hedges,M,Peter Hedges,M,Katie Holmes,F,ok,ok,1,300000,2528664,3590570,1993PASS,483738,4077367,5789647,5,3,,
2008,tt0910936,Pineapple Express,David Gordon Green,M,Seth Rogen,M,Seth Rogen,M,men,men,0,26000000,87341380,101549277,2008FAIL,28138664,94525760,109902346,2,2,,
2007,tt0449088,Pirates of the Caribbean: At World&#39;s End,Gore Verbinski,M,Ted Elliott,M,Johnny Depp,M,ok,ok,1,300000000,309420425,960996492,2007PASS,337063045,347647302,1079721346,2,2,,
2006,tt0383574,Pirates of the Caribbean: Dead Man&#39;s Chest,Gore Verbinski,M,Ted Elliott,M,Johnny Depp,M,men-disagree,men,0,225000000,423315812,1060615812,2006FAIL,260054178,489266869,1225855881,2,2,,
2011,tt1298650,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,M,Ted Elliott,M,Johnny Depp,M,notalk,notalk,0,250000000,241063875,1043663875,2011FAIL,258922697,249667634,1080913060,1,1,,
2003,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,M,Ted Elliott,M,Johnny Depp,M,men-disagree,men,0,125000000,305411224,634954103,2003FAIL,158260870,386677167,803907108,3,2,,
2000,tt0134847,Pitch Black,David Twohy,M,Jim Wheat,M,Radha Mitchell,F,ok,ok,1,23000000,39235088,53182088,2000PASS,31116893,53081479,71950493,3,2,,
2012,tt1981677,Pitch Perfect,Jason Moore,M,Kay Cannon,M,Anna Kendrick,F,ok,ok,1,17000000,65001093,115331177,2012PASS,17248856,65952616,117019460,1,1,,
2009,tt0762125,Planet 51,Jorge Blanco,M,Joe Stillman,M,Dwayne Johnson,M,notalk,notalk,0,60000000,42194060,108996113,2009FAIL,65143896,45811424,118340524,2,2,,
1986,tt0091763,Platoon,Oliver Stone,M,Oliver Stone,M,Charlie Sheen,M,nowomen,nowomen,0,6000000,137963328,137963328,1986FAIL,12742588,293001649,293001649,,,,
1995,tt0114148,Pocahontas,Mike Gabriel,M,Carl Binder,M,Mel Gibson,M,ok-disagree,ok,1,55000000,141579773,347100000,1995PASS,84082870,216444248,530639350,4,3,,
2000,tt0257001,Pokemon: The Movie 2000,Michael Haigney,M,Satoshi Tajiri,M,Veronica Taylor,F,men,men,0,30000000,43746923,133946923,2000FAIL,40587251,59185579,181217915,3,2,,
1984,tt0087928,Police Academy,Hugh Wilson,M,Neal Israel,M,Steve Guttenberg,M,dubious,dubious,0,4500000,81198894,81198894,1984FAIL,10086498,182002774,182002774,,,,
1994,tt0110857,Police Academy: Mission to Moscow,Alan Metter,M,Neal Israel,M,G.W. Bailey,M,notalk,notalk,0,10000000,126247,126247,1994FAIL,15716647,198418,198418,5,3,,
1982,tt0084516,Poltergeist,Tobe Hooper,M,Steven Spielberg,M,JoBeth Williams,M,ok,ok,1,10700000,74706019,121706019,1982PASS,25821968,180285645,293709241,,,,
1988,tt0095889,Poltergeist III,Gary Sherman,M,Gary Sherman,M,Heather O'Rourke,F,ok,ok,1,9500000,14114000,14114000,1988PASS,18711647,27799598,27799598,,,,
2008,tt1226681,Pontypool,Bruce McDonald,M,Tony Burgess,M,Stephen McHattie,M,nowomen-disagree,nowomen,0,1500000,3865,31916,2008FAIL,1623384,4183,34541,2,2,,
1982,tt0084522,Porky&#39;s,Bob Clark,M,Bob Clark,M,Dan Monahan,M,men,men,0,4000000,109492484,109492484,1982FAIL,9653072,264234708,264234708,,,,
2006,tt0409182,Poseidon,Wolfgang Petersen,M,Mark Protosevich,M,Richard Dreyfuss,M,men,men,0,160000000,60674817,181674817,2006FAIL,184927415,70127732,209979090,2,2,,
2008,tt0368563,Possession,Andrzej Zulawski,M,Andrzej Zulawski,M,Isabelle Adjani,F,ok,ok,1,25000000,10103647,14805812,2008PASS,27056408,10934736,16023683,2,2,,
1998,tt0120791,Practical Magic,Griffin Dunne,M,Alice Hoffman,F,Sandra Bullock,F,ok,ok,1,60000000,46850558,68336997,1998PASS,85747939,66955646,97662611,4,3,,
2009,tt0929632,Precious: Based on the Novel Push by Sapphire,Lee Daniels,M,Geoffrey Fletcher,M,Gabourey Sidibe,M,ok,ok,1,10000000,47566524,68722848,2009PASS,10857316,51644478,74614567,2,2,,
1987,tt0093773,Predator,John McTiernan,M,Jim Thomas,M,Arnold Schwarzenegger,M,nowomen,nowomen,0,18000000,59735548,98267558,1987FAIL,36907153,122481612,201487544,,,,
1990,tt0100403,Predator 2,Stephen Hopkins,M,Jim Thomas,M,Danny Glover,M,men,men,0,35000000,28317513,54768418,1990FAIL,62404139,50489429,97650742,5,3,,
2010,tt1424381,Predators,Nimród Antal,M,Alex Litvak,M,Adrien Brody,M,nowomen,nowomen,0,40000000,52000688,127234389,2010FAIL,42729274,55548791,135915826,1,1,,
2012,tt1547234,Premium Rush,David Koepp,M,David Koepp,M,Joseph Gordon-Levitt,M,ok,ok,1,35000000,20275446,31393201,2012PASS,35512350,20572249,31852752,1,1,,
2007,tt0477071,Premonition,Mennan Yapo,M,Bill Kelly,M,Sandra Bullock,F,ok,ok,1,20000000,47852604,81461343,2007PASS,22470870,53764481,91525361,2,2,,
1990,tt0100405,Pretty Woman,Garry Marshall,M,J.F. Lawton,M,Richard Gere,M,ok,ok,1,14000000,178406268,432645872,1990PASS,24961656,318093987,771396947,5,3,,
2005,tt0414387,Pride and Prejudice,Andrew Black,M,Jane Austen,F,Kam Heskin,F,ok,ok,1,28000000,38372662,120918508,2005PASS,33404928,45779857,144259786,2,2,,
2011,tt0822847,Priest,Antonia Bird,M,Jimmy McGovern,M,Linus Roache,M,notalk-disagree,notalk,0,60000000,29136626,84154026,2011FAIL,62141447,30176535,87157549,1,1,,
1994,tt0110889,Priest,Scott Stewart,M,Cory Goodman,M,Paul Bettany,M,ok,ok,1,60000000,29136626,84154026,1994PASS,94299882,45793007,132261912,5,3,,
1998,tt0119942,Primary Colors,Mike Nichols,M,Joe Klein,M,John Travolta,M,ok,ok,1,65000000,39017984,39017984,1998PASS,92893600,55761862,55761862,4,3,,
2004,tt0390384,Primer,Shane Carruth,M,Shane Carruth,M,Shane Carruth,M,notalk,notalk,0,7000,424760,565846,2004FAIL,8632,523811,697797,3,2,,
2010,tt0473075,Prince of Persia: The Sands of Time,Mike Newell,M,Boaz Yakin,M,Jake Gyllenhaal,M,nowomen,nowomen,0,200000000,90759676,335059676,2010FAIL,213646368,96952376,357921415,1,1,,
2013,tt1392214,Prisoners,Denis Villeneuve,M,Aaron Guzikowski,M,Hugh Jackman,M,ok,ok,1,46000000,61002302,113402302,2013PASS,46000000,61002302,113402302,1,1,,
1980,tt0081375,Private Benjamin,Howard Zieff,M,Nancy Meyers,F,Goldie Hawn,M,ok,ok,1,15000000,69847348,69847348,1980PASS,42416518,197512086,197512086,,,,
2008,tt0926129,Prom Night,Paul Lynch,M,William Gray,M,Leslie Nielsen,F,ok,ok,1,18000000,43869350,57109687,2008PASS,19480614,47477881,61807319,2,2,,
2005,tt0377107,Proof,Jocelyn Moorhouse,F,Jocelyn Moorhouse,F,Hugo Weaving,M,ok,ok,1,20000000,7535331,8284331,2005PASS,23860663,8989900,9883481,2,2,,
2009,tt1152836,Public Enemies,Michael Mann,M,Ronan Bennett,M,Christian Bale,F,notalk,notalk,0,102500000,97104620,210379983,2009FAIL,111287489,105429554,228416195,2,2,,
1994,tt0110912,Pulp Fiction,Quentin Tarantino,M,Quentin Tarantino,M,John Travolta,M,ok-disagree,ok,1,8000000,107928762,212928762,1994PASS,12573318,169627825,334652619,5,3,,
2009,tt0465580,Push,Paul McGuigan,M,David Bourla,M,Camilla Belle,F,ok,ok,1,38000000,31811527,44411527,2009PASS,41257801,34538780,48218998,2,2,,
2011,tt0448694,Puss in Boots,Chris Miller,M,Tom Wheeler,M,Antonio Banderas,M,notalk,notalk,0,130000000,149260504,554987477,2011FAIL,134639802,154587729,574795417,1,1,,
2008,tt0830515,Quantum of Solace,Marc Forster,M,Paul Haggis,M,Daniel Craig,M,notalk,notalk,0,230000000,169368427,591692078,2008FAIL,248918952,183300049,640362486,2,2,,
2008,tt1082868,Quarantine,John Erick Dowdle,M,John Erick Dowdle,M,Jennifer Carpenter,F,ok,ok,1,12000000,31691811,41291811,2008PASS,12987076,34298662,44688323,2,2,,
2002,tt0238546,Queen of the Damned,Michael Rymer,M,Anne Rice,F,Aaliyah,F,ok,ok,1,35000000,30307804,30307804,2002PASS,45331273,39254038,39254038,3,2,,
1998,tt0120800,Quest for Camelot,Frederik Du Chau,M,Vera Chapman,F,Jessalyn Gilsig,F,ok,ok,1,40000000,22772500,38172500,1998PASS,57165293,32544916,54553553,4,3,,
2013,tt0790736,R.I.P.D.,Robert Schwentke,M,Phil Hay,M,Ryan Reynolds,M,notalk,notalk,0,130000000,33618855,79019947,2013FAIL,130000000,33618855,79019947,1,1,,
2010,tt0935075,Rabbit Hole,John Cameron Mitchell,M,David Lindsay-Abaire,M,Nicole Kidman,F,ok,ok,1,5000000,2229058,5839592,2010PASS,5341159,2381151,6238038,1,1,,
2002,tt0252444,Rabbit-Proof Fence,Phillip Noyce,M,Doris Pilkington,F,Everlyn Sampi,F,ok,ok,1,7000000,6199600,16866928,2002PASS,9066255,8029593,21845695,3,2,,
2008,tt1084950,Rachel Getting Married,Jonathan Demme,M,Jenny Lumet,F,Anne Hathaway,F,ok,ok,1,12000000,12796861,13326864,2008PASS,12987076,13849484,14423083,2,2,,
1987,tt0093818,Radio Days,Woody Allen,M,Woody Allen,M,Mia Farrow,F,notalk,notalk,0,16000000,14792779,14792779,1987FAIL,32806358,30331075,30331075,,,,
1980,tt0081398,Raging Bull,Martin Scorsese,M ,Jake LaMotta,M,Robert De Niro,M,notalk,notalk,0,18000000,23380203,23380203,1980FAIL,50899822,66113787,66113787,,,,
1988,tt0095953,Rain Man,Barry Levinson,M,Barry Morrow,M,Dustin Hoffman,M,notalk,notalk,0,25000000,172825435,412800000,1988FAIL,49241175,340405101,813070285,,,,
2004,tt0350028,Raising Helen,Garry Marshall,M,Patrick J. Clifton,M,Kate Hudson,F,ok,ok,1,50000000,37485528,43340302,2004PASS,61659644,46226886,53446952,3,2,,
2010,tt0493949,Ramona and Beezus,Elizabeth Allen Rosenbaum,F,Laurie Craig,F,Joey King,F,ok,ok,1,15000000,26167002,27469621,2010PASS,16023478,27952425,29343924,1,1,,
2006,tt0405508,Rang De Basanti,Rakeysh Omprakash Mehra,M,Renzil D'Silva,M,Aamir Khan,M,ok,ok,1,5300000,2197694,29197694,2006PASS,6125721,2540087,33746588,2,2,,
2011,tt1192628,Rango,Gore Verbinski,M,John Logan,M,Johnny Depp,M,notalk-disagree,notalk,0,135000000,123257581,245504574,2011FAIL,139818256,127656741,254266825,1,1,,
2007,tt0382932,Ratatouille,Brad Bird,M,Brad Bird,M,Brad Garrett,M,nowomen-disagree,nowomen,0,150000000,206445654,626549695,2007FAIL,168531522,231950669,703955827,2,2,,
1999,tt0129332,Ravenous,Antonia Bird,F,Ted Griffin,M,Guy Pearce,M,notalk,notalk,0,12000000,2062406,2062406,1999FAIL,16781544,2884196,2884196,4,3,,
2004,tt0350258,Ray,Taylor Hackford,M,Taylor Hackford,M,Jamie Foxx,M,dubious,dubious,0,40000000,75305995,124823094,2004FAIL,49327715,92866817,153930950,3,2,,
2011,tt0433035,Real Steel,Shawn Levy,M,John Gatins,M,Hugh Jackman,M,notalk,notalk,0,110000000,85463309,293237309,2011FAIL,113925987,88513562,303703179,1,1,,
2002,tt0296166,Real Women Have Curves,Patricia Cardoso,F,Josefina Lopez,F,America Ferrera,M,ok,ok,1,3000000,5853194,5853194,2002PASS,3885538,7580935,7580935,3,2,,
2010,tt1245526,Red,Robert Schwentke,M,Jon Hoeber,M,Bruce Willis,M,men-disagree,men,0,60000000,90380162,196439693,2010FAIL,64093910,96546967,209843135,1,1,,
2013,tt1821694,Red 2,Dean Parisot,M,Jon Hoeber,M,Bruce Willis,M,ok,ok,1,84000000,53262560,137162560,2013PASS,84000000,53262560,137162560,1,1,,
2012,tt1234719,Red Dawn,Dan Bradley,M,Carl Ellsworth,M,Chris Hemsworth,M,notalk-disagree,notalk,0,65000000,44806783,48164150,2012FAIL,65951507,45462690,48869204,1,1,,
2002,tt0289765,Red Dragon,Brett Ratner,M,Thomas Harris,M,Anthony Hopkins,M,notalk,notalk,0,78000000,92955420,206455420,2002FAIL,101023979,120393928,267396769,3,2,,
2005,tt0421239,Red Eye,Wes Craven,M,Carl Ellsworth,M,Rachel McAdams,F,ok,ok,1,26000000,57891803,95555805,2005PASS,31018861,69066839,114001241,2,2,,
2000,tt0199753,Red Planet,Antony Hoffman,M,Chuck Pfarrer,M,Val Kilmer,M,nowomen,nowomen,0,80000000,17480890,33463969,2000FAIL,108232671,23650043,45273684,3,2,,
2011,tt1486185,Red Riding Hood,Catherine Hardwicke,F,David Leslie Johnson-McGoldrick,M,Amanda Seyfried,F,ok,ok,1,42000000,37662162,90300442,2011PASS,43499013,39006354,93523336,1,1,,
1985,tt0089893,Red Sonja,Richard Fleischer,M,Robert E. Howard,M,Arnold Schwarzenegger,M,ok,ok,1,17900000,6905861,6905861,1985PASS,38754498,14951574,14951574,,,,
2011,tt0873886,Red State,Kevin Smith,M,Kevin Smith,M,Michael Parks,M,ok,ok,1,4000000,1065429,1065429,2011PASS,4142763,1103455,1103455,1,1,,
2012,tt0485985,Red Tails,Anthony Hemingway,M,John Ridley,M,Cuba Gooding Jr.,M,men,men,0,58000000,49876377,50365498,2012FAIL,58849037,50606496,51102777,1,1,,
2002,tt0253556,Reign of Fire,Rob Bowman,M,Gregg Chabot,M,Matthew McConaughey,M,notalk,notalk,0,60000000,43061982,82150183,2002FAIL,77710753,55772984,106399210,3,2,,
2010,tt1403981,Remember Me,Allen Coulter,M,Will Fetters,M,Robert Pattinson,M,ok,ok,1,16000000,19068240,56506120,2010PASS,17091709,20369301,60361637,1,1,,
2000,tt0210945,Remember the Titans,Boaz Yakin,M,Gregory Allen Howard,M,Denzel Washington,M,notalk-disagree,notalk,0,30000000,115654751,136706683,2000FAIL,40587251,156470282,184951617,3,2,,
2005,tt0294870,Rent,Chris Columbus,M,Stephen Chbosky,M,Taye Diggs,M,ok,ok,1,40000000,29077547,31670620,2005PASS,47721325,34690477,37784099,2,2,,
1984,tt0087995,Repo Man,Alex Cox,M,Alex Cox,M,Harry Dean Stanton,M,men,men,0,1500000,2300000,2300000,1984FAIL,3362166,5155321,5155321,,,,
2010,tt1053424,Repo Men,Miguel Sapochnik,M,Eric Garcia,M,Jude Law,M,ok,ok,1,32000000,13942007,18195238,2010PASS,34183419,14893296,19436733,1,1,,
2000,tt0180093,Requiem for a Dream,Darren Aronofsky,M,Hubert Selby Jr.,M,Ellen Burstyn,F,ok,ok,1,4500000,3635482,7390108,2000PASS,6088088,4918474,9998139,3,2,,
1992,tt0105236,Reservoir Dogs,Quentin Tarantino,M,Quentin Tarantino,M,Harvey Keitel,M,nowomen,nowomen,0,1200000,2832029,2832029,1992FAIL,1992417,4702152,4702152,5,3,,
2002,tt0120804,Resident Evil,Paul W.S. Anderson,M,Paul W.S. Anderson,M,Milla Jovovich,F,ok,ok,1,35000000,40119709,103787401,2002PASS,45331273,51962213,134423285,3,2,,
2004,tt0318627,Resident Evil: Apocalypse,Alexander Witt,M,Paul W.S. Anderson,M,Milla Jovovich,F,ok,ok,1,50000000,50740078,128940078,2004PASS,61659644,62572303,159007986,3,2,,
2007,tt0432021,Resident Evil: Extinction,Russell Mulcahy,M,Paul W.S. Anderson,M,Milla Jovovich,F,ok,ok,1,45000000,50648679,146162920,2007PASS,50559457,56905993,164220396,2,2,,
2000,tt0122459,Return to Me,Bonnie Hunt,F,Bonnie Hunt,F,David Duchovny,M,dubious-disagree,dubious,0,24000000,32662299,32662299,2000FAIL,32469801,44189098,44189098,3,2,,
2008,tt0959337,Revolutionary Road,Sam Mendes,M,Justin Haythe,M,Leonardo DiCaprio,M,ok,ok,1,45000000,22911480,79564960,2008PASS,48701534,24796094,86109680,2,2,,
2013,tt1411250,Riddick,David Twohy,M,David Twohy,M,Vin Diesel,M,notalk-disagree,notalk,0,38000000,42025135,92425135,2013FAIL,38000000,42025135,92425135,1,1,,
2011,tt1436562,Rio,Carlos Saldanha,M,Carlos Saldanha,M,Jesse Eisenberg,M,notalk,notalk,0,90000000,143619809,487519809,2011FAIL,93212171,148745713,504919774,1,1,,
2012,tt1446192,Rise of the Guardians,Peter Ramsey,M,David Lindsay-Abaire,M,Hugh Jackman,M,notalk-disagree,notalk,0,145000000,103412758,306900902,2012FAIL,147122592,104926572,311393491,1,1,,
2011,tt1318514,Rise of the Planet of the Apes,Rupert Wyatt,M,Rick Jaffa,M,James Franco,M,notalk,notalk,0,93000000,176760185,482860185,2011FAIL,96319243,183068895,500093845,1,1,,
1989,tt0098206,Road House,Rowdy Herrington,M,R. Lance Hill,M,Patrick Swayze,M,notalk,notalk,0,10000000,30050028,30050028,1989FAIL,18795888,56481697,56481697,,,,
2010,tt0955308,Robin Hood,Otto Bathurst,M,Ben Chandler,M,Taron Egerton,M,dubious-disagree,dubious,0,210000000,105487148,322459006,2010FAIL,224328687,112684730,344460978,1,1,,
1991,tt0102798,Robin Hood: Prince of Thieves,Kevin Reynolds,M,Pen Densham,M,Kevin Costner,M,dubious,dubious,0,50000000,165493908,390500000,1991FAIL,85542018,283133658,668083163,5,3,,
1987,tt0093870,RoboCop,Paul Verhoeven,M,Edward Neumeier,M,Peter Weller,M,notalk,notalk,0,120000000,54764805,221577330,1987FAIL,246047687,112289613,454321579,,,,
